Index,4ES_1,4ES_2,4ES_3,4ES_4,4PF_1,4PF_2,4PF_3,4PF_4
88,2509.798,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798
89,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798
90,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798
91,2529.406,2529.406,2509.798,2509.798,2509.798,2529.406,2509.798,2529.406
92,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798
93,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
94,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406
95,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406,2529.406
96,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798
97,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798
98,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
99,2509.798,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798,2509.798
100,2509.798,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798,2509.798
101,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
102,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
103,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406
104,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406
105,2509.798,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
106,2529.406,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
107,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406
108,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406
109,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2529.406
110,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
111,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
112,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2490.19,2509.798
113,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798
114,2529.406,2529.406,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798
115,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
116,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406
117,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406,2509.798,2529.406
118,2529.406,2509.798,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798
119,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798
120,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
121,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
122,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
123,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
124,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
125,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406
126,2509.798,2529.406,2509.798,2509.798,2529.406,2529.406,2509.798,2509.798
127,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798
128,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
129,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
130,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2529.406
131,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406
132,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2529.406,2529.406
133,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798
134,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798
135,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798
136,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
137,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
138,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2490.19,2509.798
139,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406
140,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
141,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798,2509.798
142,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
143,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
144,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
145,2509.798,2529.406,2529.406,2509.798,2509.798,2529.406,2529.406,2509.798
146,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406,2529.406,2509.798
147,2529.406,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
148,2529.406,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
149,2529.406,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
150,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406
151,2529.406,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
152,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
153,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
154,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
155,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
156,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
157,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
158,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
159,2529.406,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
160,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
161,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
162,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
163,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406
164,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2529.406
165,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798
166,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
167,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
168,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
169,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406,2509.798,2529.406
170,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
171,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406
172,2509.798,2509.798,2529.406,2509.798,2509.798,2509.798,2509.798,2509.798
173,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406
174,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
175,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
